"module name","licenses","repository","licenseUrl","parents"
"json2csv@4.5.4","MIT","https://github.com/zemirco/json2csv","https://github.com/zemirco/json2csv/raw/master/LICENSE.md","fire-uach"
"json5@1.0.1","MIT","https://github.com/json5/json5","https://github.com/json5/json5/raw/master/LICENSE.md","loader-utils:fire-uach"
"json5@2.1.1","MIT","https://github.com/json5/json5","https://github.com/json5/json5/raw/master/LICENSE.md","fire-uach"
"jsonparse@1.3.1","MIT","http://github.com/creationix/jsonparse","http://github.com/creationix/jsonparse/raw/master/LICENSE","fire-uach"
"jsonwebtoken@8.5.1","MIT","https://github.com/auth0/node-jsonwebtoken","https://github.com/auth0/node-jsonwebtoken/raw/master/LICENSE","fire-uach"
"jsprim@1.4.1","MIT","https://github.com/joyent/node-jsprim","https://github.com/joyent/node-jsprim/raw/master/LICENSE","fire-uach"
"jss-camel-case@6.1.0","MIT","https://github.com/cssinjs/jss-camel-case","https://github.com/cssinjs/jss-camel-case/raw/master/LICENSE","fire-uach"
"jss-default-unit@8.0.2","MIT","https://github.com/cssinjs/jss-default-unit","https://github.com/cssinjs/jss-default-unit/raw/master/LICENSE","fire-uach"
"jss-global@3.0.0","MIT","https://github.com/cssinjs/jss-global","https://github.com/cssinjs/jss-global/raw/master/LICENSE","fire-uach"
"jss-nested@6.0.1","MIT","https://github.com/cssinjs/jss-nested","https://github.com/cssinjs/jss-nested/raw/master/LICENSE","fire-uach"
"jss-props-sort@6.0.0","MIT","https://github.com/cssinjs/jss-props-sort","https://github.com/cssinjs/jss-props-sort/raw/master/LICENSE","fire-uach"
"jss-vendor-prefixer@7.0.0","MIT","https://github.com/cssinjs/jss-vendor-prefixer","https://github.com/cssinjs/jss-vendor-prefixer/raw/master/LICENSE","fire-uach"
"jss@9.8.7","MIT","https://github.com/cssinjs/jss","https://github.com/cssinjs/jss/raw/master/LICENSE","fire-uach"
"junk@3.1.0","MIT","https://github.com/sindresorhus/junk","https://github.com/sindresorhus/junk/raw/master/license","fire-uach"
"jwa@1.4.1","MIT","https://github.com/brianloveswords/node-jwa","https://github.com/brianloveswords/node-jwa/raw/master/LICENSE","fire-uach"
"jws@3.2.2","MIT","https://github.com/brianloveswords/node-jws","https://github.com/brianloveswords/node-jws/raw/master/LICENSE","fire-uach"
"kareem@2.3.1","Apache-2.0","https://github.com/vkarpov15/kareem","https://github.com/vkarpov15/kareem/raw/master/LICENSE","fire-uach"
"keyboard-key@1.0.4","MIT","git+ssh://github.com/levithomason/keyboard-key","git+ssh://github.com/levithomason/keyboard-key/raw/master/LICENSE","fire-uach"
"keyv@3.0.0","MIT","https://github.com/lukechilds/keyv","https://github.com/lukechilds/keyv/raw/master/LICENSE","fire-uach"
"kind-of@3.2.2","MIT","https://github.com/jonschlinkert/kind-of","https://github.com/jonschlinkert/kind-of/raw/master/LICENSE","fire-uach"
"kind-of@4.0.0","MIT","https://github.com/jonschlinkert/kind-of","https://github.com/jonschlinkert/kind-of/raw/master/LICENSE","has-values:fire-uach"
"kind-of@5.1.0","MIT","https://github.com/jonschlinkert/kind-of","https://github.com/jonschlinkert/kind-of/raw/master/LICENSE","define-property:fire-uach"
"kind-of@6.0.2","MIT","https://github.com/jonschlinkert/kind-of","https://github.com/jonschlinkert/kind-of/raw/master/LICENSE","is-accessor-descriptor:fire-uach"
"kleur@3.0.3","MIT","https://github.com/lukeed/kleur","https://github.com/lukeed/kleur/raw/master/license","fire-uach"
"launch-editor@2.2.1","MIT","https://github.com/yyx990803/launch-editor","https://github.com/yyx990803/launch-editor","fire-uach"
"lazy@1.0.11","MIT","http://github.com/pkrumins/node-lazy","http://github.com/pkrumins/node-lazy","fire-uach"
"left-pad@1.3.0","WTFPL","https://github.com/stevemao/left-pad","https://github.com/stevemao/left-pad/raw/master/COPYING","fire-uach"
"leven@3.1.0","MIT","https://github.com/sindresorhus/leven","https://github.com/sindresorhus/leven/raw/master/license","fire-uach"
"levn@0.3.0","MIT","https://github.com/gkz/levn","https://github.com/gkz/levn/raw/master/LICENSE","fire-uach"
"lines-and-columns@1.1.6","MIT","https://github.com/eventualbuddha/lines-and-columns","https://github.com/eventualbuddha/lines-and-columns/raw/master/LICENSE","fire-uach"
"load-json-file@1.1.0","MIT","https://github.com/sindresorhus/load-json-file","https://github.com/sindresorhus/load-json-file/raw/master/license","read-pkg-up:fire-uach"
"load-json-file@2.0.0","MIT","https://github.com/sindresorhus/load-json-file","https://github.com/sindresorhus/load-json-file/raw/master/license","autodll-webpack-plugin:fire-uach"
"load-json-file@4.0.0","MIT","https://github.com/sindresorhus/load-json-file","https://github.com/sindresorhus/load-json-file/raw/master/license","fire-uach"
"loader-runner@2.4.0","MIT","https://github.com/webpack/loader-runner","https://github.com/webpack/loader-runner/raw/master/LICENSE","fire-uach"
"loader-utils@1.2.3","MIT","https://github.com/webpack/loader-utils","https://github.com/webpack/loader-utils/raw/master/LICENSE","fire-uach"
"locate-path@2.0.0","MIT","https://github.com/sindresorhus/locate-path","https://github.com/sindresorhus/locate-path/raw/master/license","autodll-webpack-plugin:fire-uach"
"locate-path@3.0.0","MIT","https://github.com/sindresorhus/locate-path","https://github.com/sindresorhus/locate-path/raw/master/license","find-up:fire-uach"
"locate-path@5.0.0","MIT","https://github.com/sindresorhus/locate-path","https://github.com/sindresorhus/locate-path/raw/master/license","fire-uach"
"lodash-es@4.17.15","MIT","https://github.com/lodash/lodash","https://github.com/lodash/lodash/raw/master/LICENSE","fire-uach"
"lodash._reinterpolate@3.0.0","MIT","https://github.com/lodash/lodash","https://github.com/lodash/lodash/raw/master/LICENSE.txt","fire-uach"
"lodash.curry@4.1.1","MIT","https://github.com/lodash/lodash","https://github.com/lodash/lodash/raw/master/LICENSE","fire-uach"
"lodash.findindex@4.6.0","MIT","https://github.com/lodash/lodash","https://github.com/lodash/lodash/raw/master/LICENSE","fire-uach"
"lodash.foreach@4.5.0","MIT","https://github.com/lodash/lodash","https://github.com/lodash/lodash/raw/master/LICENSE","fire-uach"
"lodash.get@4.4.2","MIT","https://github.com/lodash/lodash","https://github.com/lodash/lodash/raw/master/LICENSE","fire-uach"
